cost_fn;network;num_qubits;num_run;tensor_sparsity
custom;Concatenated;9;0;0.25
custom;Concatenated;9;0;0.5
custom;Concatenated;9;0;1.0
custom;Concatenated;9;1;0.25
custom;Concatenated;9;1;0.5
custom;Concatenated;9;1;1.0
custom;Rotated Surface;9;0;0.25
custom;Rotated Surface;9;0;0.25
custom;Rotated Surface;9;0;0.125
custom;Rotated Surface;9;0;0.03125
custom;Rotated Surface;9;0;0.125
custom;Rotated Surface;9;0;0.25
custom;Rotated Surface;9;0;0.0625
custom;Rotated Surface;9;0;0.25
custom;Rotated Surface;9;0;0.25
custom;Rotated Surface;9;0;0.125
custom;Rotated Surface;9;0;0.5
custom;Rotated Surface;9;0;1.0
custom;Rotated Surface;9;1;0.25
custom;Rotated Surface;9;1;0.25
custom;Rotated Surface;9;1;0.125
custom;Rotated Surface;9;1;0.03125
custom;Rotated Surface;9;1;0.125
custom;Rotated Surface;9;1;0.25
custom;Rotated Surface;9;1;0.0625
custom;Rotated Surface;9;1;0.25
custom;Rotated Surface;9;1;0.25
custom;Rotated Surface;9;1;0.125
custom;Rotated Surface;9;1;0.5
custom;Rotated Surface;9;1;1.0
custom;Concatenated;25;0;0.0625
custom;Concatenated;25;0;0.125
custom;Concatenated;25;0;0.25
custom;Concatenated;25;0;0.5
custom;Concatenated;25;0;1.0
custom;Concatenated;25;1;0.0625
custom;Concatenated;25;1;0.125
custom;Concatenated;25;1;0.25
custom;Concatenated;25;1;0.5
custom;Concatenated;25;1;1.0
custom;Rotated Surface;25;0;0.0625
custom;Rotated Surface;25;0;0.0625
custom;Rotated Surface;25;0;0.015625
custom;Rotated Surface;25;0;0.0625
custom;Rotated Surface;25;0;0.015625
custom;Rotated Surface;25;0;0.00390625
custom;Rotated Surface;25;0;0.015625
custom;Rotated Surface;25;0;0.0625
custom;Rotated Surface;25;0;0.0625
custom;Rotated Surface;25;0;0.015625
custom;Rotated Surface;25;0;0.0625
custom;Rotated Surface;25;0;0.0078125
custom;Rotated Surface;25;0;0.03125
custom;Rotated Surface;25;0;0.03125
custom;Rotated Surface;25;0;0.001953125
custom;Rotated Surface;25;0;0.0078125
custom;Rotated Surface;25;0;0.001953125
custom;Rotated Surface;25;0;0.0078125
custom;Rotated Surface;25;0;0.0625
custom;Rotated Surface;25;0;0.0625
custom;Rotated Surface;25;0;0.015625
custom;Rotated Surface;25;0;0.0625
custom;Rotated Surface;25;0;0.015625
custom;Rotated Surface;25;0;0.00390625
custom;Rotated Surface;25;0;0.015625
custom;Rotated Surface;25;0;0.00048828125
custom;Rotated Surface;25;0;0.00390625
custom;Rotated Surface;25;0;0.015625
custom;Rotated Surface;25;0;0.00390625
custom;Rotated Surface;25;0;0.015625
custom;Rotated Surface;25;0;0.0078125
custom;Rotated Surface;25;0;0.0625
custom;Rotated Surface;25;0;0.015625
custom;Rotated Surface;25;0;0.0625
custom;Rotated Surface;25;0;0.03125
custom;Rotated Surface;25;0;0.0625
custom;Rotated Surface;25;0;0.0625
custom;Rotated Surface;25;0;0.25
custom;Rotated Surface;25;0;0.125
custom;Rotated Surface;25;0;1.0
custom;Rotated Surface;25;1;0.0625
custom;Rotated Surface;25;1;0.0625
custom;Rotated Surface;25;1;0.015625
custom;Rotated Surface;25;1;0.0625
custom;Rotated Surface;25;1;0.015625
custom;Rotated Surface;25;1;0.00390625
custom;Rotated Surface;25;1;0.015625
custom;Rotated Surface;25;1;0.0625
custom;Rotated Surface;25;1;0.0625
custom;Rotated Surface;25;1;0.015625
custom;Rotated Surface;25;1;0.0625
custom;Rotated Surface;25;1;0.0078125
custom;Rotated Surface;25;1;0.03125
custom;Rotated Surface;25;1;0.03125
custom;Rotated Surface;25;1;0.001953125
custom;Rotated Surface;25;1;0.0078125
custom;Rotated Surface;25;1;0.001953125
custom;Rotated Surface;25;1;0.0078125
custom;Rotated Surface;25;1;0.0625
custom;Rotated Surface;25;1;0.0625
custom;Rotated Surface;25;1;0.015625
custom;Rotated Surface;25;1;0.0625
custom;Rotated Surface;25;1;0.015625
custom;Rotated Surface;25;1;0.00390625
custom;Rotated Surface;25;1;0.015625
custom;Rotated Surface;25;1;0.00048828125
custom;Rotated Surface;25;1;0.00390625
custom;Rotated Surface;25;1;0.015625
custom;Rotated Surface;25;1;0.00390625
custom;Rotated Surface;25;1;0.015625
custom;Rotated Surface;25;1;0.0078125
custom;Rotated Surface;25;1;0.0625
custom;Rotated Surface;25;1;0.015625
custom;Rotated Surface;25;1;0.0625
custom;Rotated Surface;25;1;0.03125
custom;Rotated Surface;25;1;0.0625
custom;Rotated Surface;25;1;0.0625
custom;Rotated Surface;25;1;0.25
custom;Rotated Surface;25;1;0.125
custom;Rotated Surface;25;1;1.0
custom;Concatenated;49;0;0.015625
custom;Concatenated;49;0;0.03125
custom;Concatenated;49;0;0.0625
custom;Concatenated;49;0;0.125
custom;Concatenated;49;0;0.25
custom;Concatenated;49;0;0.5
custom;Concatenated;49;0;1.0
custom;Concatenated;49;1;0.015625
custom;Concatenated;49;1;0.03125
custom;Concatenated;49;1;0.0625
custom;Concatenated;49;1;0.125
custom;Concatenated;49;1;0.25
custom;Concatenated;49;1;0.5
custom;Concatenated;49;1;1.0
custom;Rotated Surface;49;0;0.0625
custom;Rotated Surface;49;0;0.015625
custom;Rotated Surface;49;0;0.03125
custom;Rotated Surface;49;0;0.00390625
custom;Rotated Surface;49;0;0.015625
custom;Rotated Surface;49;0;0.00390625
custom;Rotated Surface;49;0;0.015625
custom;Rotated Surface;49;0;0.03125
custom;Rotated Surface;49;0;0.015625
custom;Rotated Surface;49;0;0.001953125
custom;Rotated Surface;49;0;0.0078125
custom;Rotated Surface;49;0;0.0009765625
custom;Rotated Surface;49;0;0.00390625
custom;Rotated Surface;49;0;0.015625
custom;Rotated Surface;49;0;0.000244140625
custom;Rotated Surface;49;0;0.0009765625
custom;Rotated Surface;49;0;0.00390625
custom;Rotated Surface;49;0;0.25
custom;Rotated Surface;49;0;0.0625
custom;Rotated Surface;49;0;0.03125
custom;Rotated Surface;49;0;0.00390625
custom;Rotated Surface;49;0;0.015625
custom;Rotated Surface;49;0;0.00390625
custom;Rotated Surface;49;0;0.015625
custom;Rotated Surface;49;0;0.015625
custom;Rotated Surface;49;0;0.03125
custom;Rotated Surface;49;0;0.001953125
custom;Rotated Surface;49;0;0.0078125
custom;Rotated Surface;49;0;0.00048828125
custom;Rotated Surface;49;0;0.00390625
custom;Rotated Surface;49;0;0.015625
custom;Rotated Surface;49;0;0.000244140625
custom;Rotated Surface;49;0;0.0009765625
custom;Rotated Surface;49;0;0.00390625
custom;Rotated Surface;49;0;6.103515625e-05
custom;Rotated Surface;49;0;0.00048828125
custom;Rotated Surface;49;0;0.001953125
custom;Rotated Surface;49;0;0.015625
custom;Rotated Surface;49;0;0.125
custom;Rotated Surface;49;0;0.0078125
custom;Rotated Surface;49;0;0.03125
custom;Rotated Surface;49;0;0.25
custom;Rotated Surface;49;0;0.0625
custom;Rotated Surface;49;0;0.0078125
custom;Rotated Surface;49;0;0.015625
custom;Rotated Surface;49;0;0.015625
custom;Rotated Surface;49;0;0.0009765625
custom;Rotated Surface;49;0;0.00390625
custom;Rotated Surface;49;0;0.015625
custom;Rotated Surface;49;0;0.03125
custom;Rotated Surface;49;0;0.001953125
custom;Rotated Surface;49;0;0.00390625
custom;Rotated Surface;49;0;0.015625
custom;Rotated Surface;49;0;0.000244140625
custom;Rotated Surface;49;0;0.0009765625
custom;Rotated Surface;49;0;7.62939453125e-06
custom;Rotated Surface;49;0;3.0517578125e-05
custom;Rotated Surface;49;0;0.0001220703125
custom;Rotated Surface;49;0;0.00048828125
custom;Rotated Surface;49;0;0.00390625
custom;Rotated Surface;49;0;0.25
custom;Rotated Surface;49;0;0.0625
custom;Rotated Surface;49;0;0.015625
custom;Rotated Surface;49;0;0.00390625
custom;Rotated Surface;49;0;0.015625
custom;Rotated Surface;49;0;0.125
custom;Rotated Surface;49;0;0.00390625
custom;Rotated Surface;49;0;0.015625
custom;Rotated Surface;49;0;0.00390625
custom;Rotated Surface;49;0;0.015625
custom;Rotated Surface;49;0;0.00390625
custom;Rotated Surface;49;0;0.015625
custom;Rotated Surface;49;0;0.03125
custom;Rotated Surface;49;0;0.0009765625
custom;Rotated Surface;49;0;0.00390625
custom;Rotated Surface;49;0;0.0009765625
custom;Rotated Surface;49;0;0.00390625
custom;Rotated Surface;49;0;0.0001220703125
custom;Rotated Surface;49;0;0.00048828125
custom;Rotated Surface;49;0;0.001953125
custom;Rotated Surface;49;0;0.015625
custom;Rotated Surface;49;0;0.0625
custom;Rotated Surface;49;0;0.25
custom;Rotated Surface;49;0;1.0
custom;Rotated Surface;49;1;0.0625
custom;Rotated Surface;49;1;0.015625
custom;Rotated Surface;49;1;0.03125
custom;Rotated Surface;49;1;0.00390625
custom;Rotated Surface;49;1;0.015625
custom;Rotated Surface;49;1;0.00390625
custom;Rotated Surface;49;1;0.015625
custom;Rotated Surface;49;1;0.03125
custom;Rotated Surface;49;1;0.015625
custom;Rotated Surface;49;1;0.001953125
custom;Rotated Surface;49;1;0.0078125
custom;Rotated Surface;49;1;0.0009765625
custom;Rotated Surface;49;1;0.00390625
custom;Rotated Surface;49;1;0.015625
custom;Rotated Surface;49;1;0.000244140625
custom;Rotated Surface;49;1;0.0009765625
custom;Rotated Surface;49;1;0.00390625
custom;Rotated Surface;49;1;0.25
custom;Rotated Surface;49;1;0.0625
custom;Rotated Surface;49;1;0.03125
custom;Rotated Surface;49;1;0.00390625
custom;Rotated Surface;49;1;0.015625
custom;Rotated Surface;49;1;0.00390625
custom;Rotated Surface;49;1;0.015625
custom;Rotated Surface;49;1;0.015625
custom;Rotated Surface;49;1;0.03125
custom;Rotated Surface;49;1;0.001953125
custom;Rotated Surface;49;1;0.0078125
custom;Rotated Surface;49;1;0.00048828125
custom;Rotated Surface;49;1;0.00390625
custom;Rotated Surface;49;1;0.015625
custom;Rotated Surface;49;1;0.000244140625
custom;Rotated Surface;49;1;0.0009765625
custom;Rotated Surface;49;1;0.00390625
custom;Rotated Surface;49;1;6.103515625e-05
custom;Rotated Surface;49;1;0.00048828125
custom;Rotated Surface;49;1;0.001953125
custom;Rotated Surface;49;1;0.015625
custom;Rotated Surface;49;1;0.125
custom;Rotated Surface;49;1;0.0078125
custom;Rotated Surface;49;1;0.03125
custom;Rotated Surface;49;1;0.25
custom;Rotated Surface;49;1;0.0625
custom;Rotated Surface;49;1;0.0078125
custom;Rotated Surface;49;1;0.015625
custom;Rotated Surface;49;1;0.015625
custom;Rotated Surface;49;1;0.0009765625
custom;Rotated Surface;49;1;0.00390625
custom;Rotated Surface;49;1;0.015625
custom;Rotated Surface;49;1;0.03125
custom;Rotated Surface;49;1;0.001953125
custom;Rotated Surface;49;1;0.00390625
custom;Rotated Surface;49;1;0.015625
custom;Rotated Surface;49;1;0.000244140625
custom;Rotated Surface;49;1;0.0009765625
custom;Rotated Surface;49;1;7.62939453125e-06
custom;Rotated Surface;49;1;3.0517578125e-05
custom;Rotated Surface;49;1;0.0001220703125
custom;Rotated Surface;49;1;0.00048828125
custom;Rotated Surface;49;1;0.00390625
custom;Rotated Surface;49;1;0.25
custom;Rotated Surface;49;1;0.0625
custom;Rotated Surface;49;1;0.015625
custom;Rotated Surface;49;1;0.00390625
custom;Rotated Surface;49;1;0.015625
custom;Rotated Surface;49;1;0.125
custom;Rotated Surface;49;1;0.00390625
custom;Rotated Surface;49;1;0.015625
custom;Rotated Surface;49;1;0.00390625
custom;Rotated Surface;49;1;0.015625
custom;Rotated Surface;49;1;0.00390625
custom;Rotated Surface;49;1;0.015625
custom;Rotated Surface;49;1;0.03125
custom;Rotated Surface;49;1;0.0009765625
custom;Rotated Surface;49;1;0.00390625
custom;Rotated Surface;49;1;0.0009765625
custom;Rotated Surface;49;1;0.00390625
custom;Rotated Surface;49;1;0.0001220703125
custom;Rotated Surface;49;1;0.00048828125
custom;Rotated Surface;49;1;0.001953125
custom;Rotated Surface;49;1;0.015625
custom;Rotated Surface;49;1;0.0625
custom;Rotated Surface;49;1;0.25
custom;Rotated Surface;49;1;1.0
custom;Hamming MSP;7;0;0.03125
