distance;name;num_run;custom_cost
3;Dual Surface;0;289
3;Rotated Surface;0;93
3;Concatenated;0;2009
3;Measurement State Prep;0;2945
3;Tanner Network;0;2417
3;Dual Surface;1;265
3;Rotated Surface;1;89
3;Concatenated;1;2329
3;Measurement State Prep;1;2639
3;Tanner Network;1;2349
3;Dual Surface;2;285
3;Rotated Surface;2;91
3;Concatenated;2;2073
3;Measurement State Prep;2;3015
3;Tanner Network;2;2309
3;Dual Surface;3;257
3;Rotated Surface;3;87
3;Concatenated;3;2361
3;Measurement State Prep;3;2891
3;Tanner Network;3;2345
3;Dual Surface;4;265
3;Rotated Surface;4;91
3;Concatenated;4;2385
3;Measurement State Prep;4;2841
3;Tanner Network;4;1825
3;Dual Surface;5;257
3;Rotated Surface;5;119
3;Concatenated;5;2065
3;Measurement State Prep;5;2551
3;Tanner Network;5;2497
3;Dual Surface;6;273
3;Rotated Surface;6;89
3;Concatenated;6;2121
3;Measurement State Prep;6;2839
3;Tanner Network;6;2313
3;Dual Surface;7;289
3;Rotated Surface;7;95
3;Concatenated;7;2081
3;Measurement State Prep;7;2515
3;Tanner Network;7;2449
3;Dual Surface;8;265
3;Rotated Surface;8;89
3;Concatenated;8;2161
3;Measurement State Prep;8;2501
3;Tanner Network;8;2369
3;Dual Surface;9;273
3;Rotated Surface;9;89
3;Concatenated;9;2281
3;Measurement State Prep;9;2385
3;Tanner Network;9;2361
3;Dual Surface;10;273
3;Rotated Surface;10;93
3;Concatenated;10;2241
3;Measurement State Prep;10;3085
3;Tanner Network;10;2345
3;Dual Surface;11;281
3;Rotated Surface;11;87
3;Concatenated;11;2033
3;Measurement State Prep;11;3279
3;Tanner Network;11;2321
3;Dual Surface;12;273
3;Rotated Surface;12;91
3;Concatenated;12;2329
3;Measurement State Prep;12;2409
3;Tanner Network;12;2349
3;Dual Surface;13;265
3;Rotated Surface;13;89
3;Concatenated;13;2393
3;Measurement State Prep;13;2979
3;Tanner Network;13;2241
3;Dual Surface;14;289
3;Rotated Surface;14;89
3;Concatenated;14;1985
3;Measurement State Prep;14;2779
3;Tanner Network;14;2449
3;Dual Surface;15;305
3;Rotated Surface;15;93
3;Concatenated;15;2289
3;Measurement State Prep;15;2917
3;Tanner Network;15;2665
3;Dual Surface;16;249
3;Rotated Surface;16;87
3;Concatenated;16;2345
3;Measurement State Prep;16;3051
3;Tanner Network;16;2345
3;Dual Surface;17;273
3;Rotated Surface;17;91
3;Concatenated;17;2081
3;Measurement State Prep;17;2795
3;Tanner Network;17;2357
3;Dual Surface;18;249
3;Rotated Surface;18;105
3;Concatenated;18;2105
3;Measurement State Prep;18;2647
3;Tanner Network;18;2481
3;Dual Surface;19;265
3;Rotated Surface;19;95
3;Concatenated;19;1753
3;Measurement State Prep;19;2869
3;Tanner Network;19;2369
3;Dual Surface;20;265
3;Rotated Surface;20;91
3;Concatenated;20;2145
3;Measurement State Prep;20;2503
3;Tanner Network;20;2361
3;Dual Surface;21;281
3;Rotated Surface;21;91
3;Concatenated;21;1977
3;Measurement State Prep;21;2839
3;Tanner Network;21;2345
3;Dual Surface;22;265
3;Rotated Surface;22;89
3;Concatenated;22;2161
3;Measurement State Prep;22;2885
3;Tanner Network;22;2369
3;Dual Surface;23;257
3;Rotated Surface;23;95
3;Concatenated;23;2113
3;Measurement State Prep;23;3063
3;Tanner Network;23;2489
3;Dual Surface;24;265
3;Rotated Surface;24;89
3;Concatenated;24;2185
3;Measurement State Prep;24;2775
3;Tanner Network;24;2497
3;Dual Surface;25;273
3;Rotated Surface;25;91
3;Concatenated;25;1889
3;Measurement State Prep;25;2911
3;Tanner Network;25;2369
3;Dual Surface;26;249
3;Rotated Surface;26;87
3;Concatenated;26;1849
3;Measurement State Prep;26;2631
3;Tanner Network;26;2345
3;Dual Surface;27;293
3;Rotated Surface;27;89
3;Concatenated;27;2129
3;Measurement State Prep;27;2381
3;Tanner Network;27;2369
3;Dual Surface;28;249
3;Rotated Surface;28;91
3;Concatenated;28;2137
3;Measurement State Prep;28;2485
3;Tanner Network;28;2365
3;Dual Surface;29;273
3;Rotated Surface;29;89
3;Concatenated;29;2145
3;Measurement State Prep;29;2873
3;Tanner Network;29;2353
3;Dual Surface;30;281
3;Rotated Surface;30;103
3;Concatenated;30;2001
3;Measurement State Prep;30;3435
3;Tanner Network;30;2585
3;Dual Surface;31;277
3;Rotated Surface;31;87
3;Concatenated;31;2585
3;Measurement State Prep;31;2921
3;Tanner Network;31;2309
3;Dual Surface;32;273
3;Rotated Surface;32;87
3;Concatenated;32;2169
3;Measurement State Prep;32;2931
3;Tanner Network;32;2345
3;Dual Surface;33;249
3;Rotated Surface;33;89
3;Concatenated;33;2033
3;Measurement State Prep;33;2805
3;Tanner Network;33;2369
3;Dual Surface;34;273
3;Rotated Surface;34;91
3;Concatenated;34;1937
3;Measurement State Prep;34;2743
3;Tanner Network;34;2361
3;Dual Surface;35;273
3;Rotated Surface;35;89
