cost_fn;methods;tensor_network;num_qubits;num_run;upper_bound_cost;operations;operations_with_bruteforce;max_tensor_size;avg_tensor_sparsity;time
custom_flops;['greedy'];Holographic;25;0;21296;2368.0;2544.0;256;0.90156;7.659384489059448
custom_flops;['greedy'];Holographic;95;0;1484880;2609664.0;2610640.0;262144;0.71875;70.85979151725769
flops;['greedy'];Holographic;25;0;18736;3136.0;3312.0;256;0.925;0.1841945648193359
flops;['greedy'];Holographic;95;0;17707088;18285504.0;18286480.0;65536;0.87188;1.6000478267669678
custom_flops;['greedy'];Hamming Tanner;7;0;1635292;816.0;1036.0;256;0.1084;9.677800416946411
custom_flops;['greedy'];Hamming Tanner;15;0;72343540212320880;1784960.0;1787632.0;1048576;0.04649;25.806962251663208
flops;['greedy'];Hamming Tanner;7;0;1389532;1024.0;1244.0;256;0.14876;0.1569557189941406
flops;['greedy'];Hamming Tanner;15;0;295418821296;6024020.0;6026692.0;1048576;0.05814;0.583848237991333
custom_flops;['greedy'];Rotated Surface;9;0;6720;68.0;132.0;8;0.17188;12.362155199050903
custom_flops;['greedy'];Rotated Surface;25;0;134144;900.0;1156.0;32;0.07129;50.20188307762146
custom_flops;['greedy'];Rotated Surface;49;0;6446656;6224.0;6800.0;256;0.05318;126.12634205818176
flops;['greedy'];Rotated Surface;9;0;6656;212.0;276.0;32;0.27344;0.1633484363555908
flops;['greedy'];Rotated Surface;25;0;390400;1240.0;1496.0;64;0.10807;0.478506326675415
flops;['greedy'];Rotated Surface;49;0;8199744;10056.0;10632.0;256;0.06283;1.1143898963928225
custom_flops;['greedy'];Concatenated Repetition;9;0;108;10.0;62.0;4;0.58333;2.50618577003479
custom_flops;['greedy'];Concatenated Repetition;27;0;588;116.0;312.0;16;0.57292;7.111128568649292
custom_flops;['greedy'];Concatenated Repetition;81;0;2028;476.0;1104.0;16;0.58013;30.4590904712677
flops;['greedy'];Concatenated Repetition;9;0;108;10.0;62.0;4;0.58333;0.0347383022308349
flops;['greedy'];Concatenated Repetition;27;0;588;128.0;324.0;16;0.58333;0.0983595848083496
flops;['greedy'];Concatenated Repetition;81;0;2028;488.0;1116.0;16;0.58333;0.3154335021972656
custom_flops;['greedy'];Rotated Surface MSP;9;0;1137545;1206.0;2087.0;128;0.16628;43.26916027069092
custom_flops;['greedy'];Rotated Surface MSP;25;0;18190696771546425;2822664.0;2834305.0;1048576;0.11574;284.00333881378174
flops;['greedy'];Rotated Surface MSP;9;0;1371017;1316.0;2197.0;128;0.1723;1.4179487228393557
flops;['greedy'];Rotated Surface MSP;25;0;24540661290433;14856970.0;14868611.0;2097152;0.07445;20.176164627075195
custom_flops;['greedy'];Rotated Surface;9;0;5120;84.0;148.0;16;0.20117;12.59299349784851
custom_flops;['greedy'];Rotated Surface;25;0;192256;736.0;992.0;32;0.08724;31.830164670944217
custom_flops;['greedy'];Rotated Surface;49;0;1657408;5848.0;6424.0;128;0.04016;129.02678871154785
flops;['greedy'];Rotated Surface;9;0;6720;128.0;192.0;16;0.21875;0.1742308139801025
flops;['greedy'];Rotated Surface;25;0;219904;736.0;992.0;32;0.08529;0.5145318508148193
flops;['greedy'];Rotated Surface;49;0;5443136;12544.0;13120.0;256;0.05339;1.2451138496398926
custom_flops;['greedy'];BB Tanner;18;0;682530955818898032896;831342592.0;831344896.0;268435456;0.02903;73.17154359817505
custom_flops;['greedy'];BB Tanner;30;0;19515550388981504;5348224582720.0;5348224586560.0;549755813888;0.02571;169.27936339378357
