cost_fn;methods;tensor_network;num_qubits;num_run;upper_bound_cost;operations;operations_with_bruteforce;max_tensor_size;avg_tensor_sparsity;time
custom_flops;['kahypar'];Rotated Surface Tanner;9;0;404528;516.0;756.0;64;0.12207;302.0492961406708
custom_flops;['kahypar'];Rotated Surface Tanner;25;0;302232643995900222479008;497558692.0;497564932.0;268435456;0.03369;310.2679557800293
flops;['kahypar'];Rotated Surface Tanner;9;0;352816;556.0;796.0;64;0.12598;3.7640554904937744
flops;['kahypar'];Rotated Surface Tanner;25;0;18889621345818954719328;397629600.0;397635840.0;268435456;0.02986;3409.9211485385895
custom_flops;['kahypar'];Hamming MSP;7;0;3581807;1390.0;2045.0;128;0.09811;347.52038073539734
custom_flops;['kahypar'];Hamming MSP;15;0;110174831713679;7181138.0;7190017.0;4194304;0.11394;333.4141159057617
flops;['kahypar'];Hamming MSP;7;0;574063;3310.0;3965.0;512;0.13757;133.9703438282013
flops;['kahypar'];Hamming MSP;15;0;387139902472335;4368458.0;4377337.0;4194304;0.1076;365.9903073310852
custom_flops;['kahypar'];Hamming Tanner;7;0;1635292;816.0;1036.0;256;0.1084;207.71115016937256
custom_flops;['kahypar'];Hamming Tanner;15;0;289637824186436208;5045376.0;5048048.0;4194304;0.04646;311.20302176475525
flops;['kahypar'];Hamming Tanner;7;0;1622812;1076.0;1296.0;256;0.14355;77.33602356910706
flops;['kahypar'];Hamming Tanner;15;0;1153484534153890416;3456256.0;3458928.0;1048576;0.04646;58.16150999069214
custom_flops;['kahypar'];BB MSP;18;0;2371055137666439460786;149838058.0;149843836.0;16777216;0.06361;337.6821360588074
custom_flops;['kahypar'];BB MSP;30;0;11734917665305809827526134501117022;2.21924271820131e+29;2.21924271820131e+29;79228162514264337593543950336;0.07775;13703.635662555695
flops;['kahypar'];BB MSP;18;0;599559855949229919826;140128467184.0;140128472962.0;2147483648;0.09649;361.4083182811737
flops;['kahypar'];BB MSP;30;0;3134744668895364509657278054;141098403714570.0;141098403724200.0;35184372088832;0.08763;4289.55659031868
custom_flops;['kahypar'];BB Tanner;18;0;9448191730671875000576;74074112.0;74076416.0;16777216;0.02908;345.7650444507599
custom_flops;['kahypar'];BB Tanner;30;0;1298074330690604201262637441879808;2547710527488.0;2547710531328.0;274877906944;0.01745;1084.7992684841156
flops;['kahypar'];BB Tanner;18;0;4722655557680395454720;152655872.0;152658176.0;16777216;0.02908;10801.066951036453
flops;['kahypar'];BB Tanner;30;0;4633169004953603840;6514476701760.0;6514476705600.0;549755813888;0.0258;369.7039279937744
custom_flops;['kahypar'];BB Tanner;18;0;4854593900143881589098752;1250840576.0;1250842880.0;1073741824;0.02903;919.2098536491394
custom_flops;['kahypar'];BB Tanner;30;0;6338253345873925607438727253760;331037831168.0;331037835008.0;68719476736;0.01742;823.5193033218384
flops;['kahypar'];BB Tanner;18;0;1148137445263616;5700834368.0;5700836672.0;1073741824;0.02959;455.56744861602783
flops;['kahypar'];BB Tanner;30;0;1237940039340919497733705472;6656272640000.0;6656272643840.0;1099511627776;0.01712;1336.2018616199493
custom_flops;['kahypar'];Concatenated Repetition;9;0;108;10.0;62.0;4;0.58333;6.379642486572266
custom_flops;['kahypar'];Concatenated Repetition;27;0;588;130.0;326.0;16;0.58333;60.064799785614014
custom_flops;['kahypar'];Concatenated Repetition;81;0;3132;488.0;1116.0;16;0.54046;302.91630363464355
flops;['kahypar'];Concatenated Repetition;9;0;108;10.0;62.0;4;0.58333;0.49068522453308105
flops;['kahypar'];Concatenated Repetition;27;0;588;130.0;326.0;16;0.58333;2.754523992538452
flops;['kahypar'];Concatenated Repetition;81;0;2860;614.0;1242.0;32;0.49359;19.82635998725891
custom_flops;['kahypar'];Holographic;25;0;13616;2560.0;2736.0;256;0.82656;145.110848903656
custom_flops;['kahypar'];Holographic;95;0;332765776;2349504.0;2350480.0;65536;0.71815;303.76687002182007
flops;['kahypar'];Holographic;25;0;13040;3088.0;3264.0;256;0.925;3.433563232421875
flops;['kahypar'];Holographic;95;0;21417040;1761216.0;1762192.0;65536;0.85859;45.26031708717346
custom_flops;['kahypar'];Rotated Surface;9;0;5184;76.0;140.0;16;0.16992;31.79871964454651
custom_flops;['kahypar'];Rotated Surface;25;0;194752;612.0;868.0;32;0.07617;300.3046679496765
custom_flops;['kahypar'];Rotated Surface;49;0;22774848;4512.0;5088.0;128;0.03739;302.5082836151123
flops;['kahypar'];Rotated Surface;9;0;6720;272.0;336.0;32;0.3125;0.24199748039245605
flops;['kahypar'];Rotated Surface;25;0;169216;1736.0;1992.0;64;0.11198;2.227592945098877
flops;['kahypar'];Rotated Surface;49;0;10658880;12712.0;13288.0;512;0.06836;20.370811700820923
custom_flops;['kahypar'];Rotated Surface MSP;9;0;1402737;1324.0;2205.0;128;0.13448;303.5716471672058
custom_flops;['kahypar'];Rotated Surface MSP;25;0;18020710543661001;927755038.0;927766679.0;536870912;0.09444;609.5615994930267
flops;['kahypar'];Rotated Surface MSP;9;0;392881;1540.0;2421.0;128;0.13587;167.71309185028076
flops;['kahypar'];Rotated Surface MSP;25;0;847911621039737;21960370.0;21972011.0;16777216;0.0956;304.8503575325012
custom_flops;['kahypar'];BB MSP;18;0;223675893456315123186;60942366.0;60948144.0;33554432;0.07472;3022.964770078659
custom_flops;['kahypar'];BB MSP;30;0;20283957198715231240505057213854;5.765487150005459e+17;5.765487150005555e+17;281474976710656;0.08847;15469.00082230568
flops;['kahypar'];BB MSP;18;0;77184067095666770;1727248.0;1733026.0;524288;0.09211;4936.07412147522
custom_flops;['kahypar'];Concatenated Repetition;9;0;108;10.0;62.0;4;0.58333;9.675215721130371
custom_flops;['kahypar'];Concatenated Repetition;27;0;588;128.0;324.0;16;0.58333;84.80658674240112
custom_flops;['kahypar'];Concatenated Repetition;81;0;3132;488.0;1116.0;16;0.54046;301.5299370288849
flops;['kahypar'];Concatenated Repetition;9;0;108;10.0;62.0;4;0.58333;0.24077653884887695
flops;['kahypar'];Concatenated Repetition;27;0;588;130.0;326.0;16;0.58333;0.40506911277770996
flops;['kahypar'];Concatenated Repetition;81;0;2860;614.0;1242.0;32;0.49359;1.8802216053009033
custom_flops;['kahypar'];Holographic;25;0;10544;2368.0;2544.0;256;0.82656;85.60095810890198
custom_flops;['kahypar'];Holographic;95;0;1110620176;2952144.0;2953120.0;262144;0.68845;301.84980607032776
flops;['kahypar'];Holographic;25;0;13040;3088.0;3264.0;256;0.925;5.0951268672943115
flops;['kahypar'];Holographic;95;0;21417040;1761216.0;1762192.0;65536;0.85859;183.32941198349
custom_flops;['kahypar'];Rotated Surface MSP;9;0;624881;1534.0;2415.0;128;0.11721;306.07925486564636
custom_flops;['kahypar'];Rotated Surface MSP;25;0;1479336776555833;144712724.0;144724365.0;67108864;0.09197;761.3736896514893
flops;['kahypar'];Rotated Surface MSP;9;0;343473;1724.0;2605.0;256;0.13155;149.49153232574463
flops;['kahypar'];Rotated Surface MSP;25;0;184837806734425;1080811578.0;1080823219.0;268435456;0.09297;840.4212906360626
custom_flops;['kahypar'];Hamming Tanner;7;0;1635292;1040.0;1260.0;256;0.1084;236.02766132354736
custom_flops;['kahypar'];Hamming Tanner;15;0;1171006621908290160;2955520.0;2958192.0;1048576;0.04644;312.313054561615
flops;['kahypar'];Hamming Tanner;7;0;1635292;1040.0;1260.0;256;0.1084;60.361186504364014
flops;['kahypar'];Hamming Tanner;15;0;36511855123056;4432256.0;4434928.0;1048576;0.05442;345.72525215148926
custom_flops;['kahypar'];BB MSP;18;0;4740887592432998796690;835987916.0;835993694.0;536870912;0.0738;392.43257308006287
custom_flops;['kahypar'];BB MSP;30;0;43556143006451132230858699218501221572534;3590114997120.0;3590115006750.0;549755813888;0.08791;831.7382769584656
flops;['kahypar'];BB MSP;18;0;4685156494561579090;4201736.0;4207514.0;1048576;0.09519;429.80093455314636
flops;['kahypar'];BB MSP;30;0;13356669395823826801246;9806622436.0;9806632066.0;2147483648;0.09194;18518.933265686035
custom_flops;['kahypar'];Rotated Surface MSP;9;0;392177;1412.0;2293.0;128;0.14981;304.4174780845642
custom_flops;['kahypar'];Rotated Surface MSP;25;0;6990740081655420601;840395690.0;840407331.0;536870912;0.08486;498.27773785591125
flops;['kahypar'];Rotated Surface MSP;9;0;342705;1620.0;2501.0;128;0.13514;98.10124278068542
flops;['kahypar'];Rotated Surface MSP;25;0;13670986962169;8880378.0;8892019.0;4194304;0.09725;307.4315640926361
custom_flops;['kahypar'];Hamming MSP;7;0;1452463;1322.0;1977.0;128;0.12949;175.851557970047
custom_flops;['kahypar'];Hamming MSP;15;0;4547993036733295;2883154.0;2892033.0;1048576;0.09274;305.2424941062927
flops;['kahypar'];Hamming MSP;7;0;2329711;1942.0;2597.0;256;0.13626;94.23742723464966
flops;['kahypar'];Hamming MSP;15;0;564900687706143;92322.0;101201.0;16384;0.11968;640.294056892395
custom_flops;['kahypar'];Hamming MSP;7;0;566127;1380.0;2035.0;128;0.10215;302.7798388004303
custom_flops;['kahypar'];Hamming MSP;15;0;36068603855614799;2333910.0;2342789.0;2097152;0.10798;2092.086101770401
flops;['kahypar'];Hamming MSP;7;0;559919;2854.0;3509.0;512;0.14674;28.350908994674683
flops;['kahypar'];Hamming MSP;15;0;598993322957775;75704938.0;75713817.0;67108864;0.11341;1526.9914720058441
custom_flops;['kahypar'];Rotated Surface;9;0;5184;76.0;140.0;16;0.16992;27.339951515197754
custom_flops;['kahypar'];Rotated Surface;25;0;194752;612.0;868.0;32;0.07617;274.81811356544495
custom_flops;['kahypar'];Rotated Surface;49;0;22774848;4512.0;5088.0;128;0.03739;301.5873272418976
flops;['kahypar'];Rotated Surface;9;0;6720;272.0;336.0;32;0.3125;0.28066563606262207
flops;['kahypar'];Rotated Surface;25;0;169216;1736.0;1992.0;64;0.11198;6.850210428237915
flops;['kahypar'];Rotated Surface;49;0;22570048;18552.0;19128.0;512;0.07585;35.51165962219238
custom_flops;['kahypar'];BB MSP;18;0;1567536926469116450;38953672.0;38959450.0;16777216;0.09288;2796.8789591789246
custom_flops;['kahypar'];BB MSP;30;0;41217718716643075205277022;40629078956.0;40629088586.0;8589934592;0.08765;2910.0173993110657
flops;['kahypar'];BB MSP;18;0;19789399640673676914;623108289798.0;623108295576.0;274877906944;0.08401;2759.5310690402985
flops;['kahypar'];BB MSP;30;0;2536616531821143336780865574814;2.8825236972009715e+17;2.8825236972010675e+17;281474976710656;0.08878;8522.30594086647
custom_flops;['kahypar'];Rotated Surface Tanner;9;0;404528;516.0;756.0;64;0.12207;346.6761968135834
custom_flops;['kahypar'];Rotated Surface Tanner;25;0;73932855135241308064;562729604.0;562735844.0;536870912;0.03215;366.1749122142792
flops;['kahypar'];Rotated Surface Tanner;9;0;352816;556.0;796.0;64;0.12598;2.488354206085205
flops;['kahypar'];Rotated Surface Tanner;25;0;162492058460842592;6343008.0;6349248.0;1048576;0.02921;2717.7039499282837
custom_flops;['kahypar'];BB Tanner;18;0;75577536592691869518080;624145472.0;624147776.0;268435456;0.04368;567.7712864875793
custom_flops;['kahypar'];BB Tanner;30;0;81130881190356183862217173634816;11548184416256.0;11548184420096.0;4398046511104;0.01728;432.7510595321655
