cost_fn;methods;tensor_network;num_qubits;num_run;upper_bound_cost;operations;operations_with_bruteforce;max_tensor_size;avg_tensor_sparsity;time
flops;['kahypar'];BB Tanner;18;0;19522763456776448;8159993920.0;8159996224.0;1073741824;0.02967;145.84777355194092
flops;['kahypar'];BB Tanner;30;0;79228162514644192561793076992;6714137683968.0;6714137687808.0;549755813888;0.01712;57848.94323968887
flops;['kahypar'];Holographic;25;0;13040;3088.0;3264.0;256;0.925;2.0107438564300537
flops;['kahypar'];Holographic;95;0;1541392;2809104.0;2810080.0;65536;0.80156;30.56877851486206
flops;['kahypar'];Hamming MSP;7;0;314607;2202.0;2857.0;512;0.13698;388.0762071609497
flops;['kahypar'];Hamming MSP;15;0;2518295168143;85478.0;94357.0;32768;0.09925;55390.06219959259
flops;['greedy'];Hamming MSP;7;0;756207;1702.0;2357.0;256;0.14655;0.8284609317779541
flops;['greedy'];Hamming MSP;15;0;260701885735;766637084.0;766645963.0;268435456;0.03308;2.261997699737549
flops;['greedy'];Hamming MSP;7;0;314319;2298.0;2953.0;256;0.17135;1.3666512966156006
flops;['greedy'];Hamming MSP;15;0;138684149191;150886.0;159765.0;8192;0.01472;3.151277542114258
flops;['kahypar'];Rotated Surface;9;0;6720;272.0;336.0;32;0.3125;1.1670691967010498
flops;['kahypar'];Rotated Surface;25;0;169216;1736.0;1992.0;64;0.11198;9.43872880935669
flops;['kahypar'];Rotated Surface;49;0;10658880;12712.0;13288.0;512;0.06836;246.5403189659119
flops;['greedy'];Holographic;25;0;13040;2512.0;2688.0;256;0.925;1.0465528964996338
flops;['greedy'];Holographic;95;0;17616464;18340560.0;18341536.0;65536;0.875;1.1460909843444824
flops;['kahypar'];BB Tanner;18;0;4723952312913209067776;101942336.0;101944640.0;16777216;0.02992;31.487881422042847
flops;['kahypar'];BB Tanner;30;0;37529585635036928;4516668390530.0;4516668394370.0;274877906944;0.01704;146490.14074993134
flops;['kahypar'];Rotated Surface;9;0;6720;272.0;336.0;32;0.3125;1.233811378479004
flops;['kahypar'];Rotated Surface;25;0;169216;1736.0;1992.0;64;0.11198;35.75892925262451
flops;['kahypar'];Rotated Surface;49;0;10363968;13144.0;13720.0;256;0.07186;58.52491545677185
flops;['greedy'];BB MSP;18;0;1596926655250;2777072.0;2782850.0;262144;0.03496;9.728939294815063
flops;['greedy'];BB MSP;30;0;39463586599543075614;68532233008480.0;68532233018110.0;17592186044416;0.07278;16.469407081604004
flops;['kahypar'];Holographic;25;0;13040;3088.0;3264.0;256;0.925;5.497860670089722
flops;['kahypar'];Holographic;95;0;1539984;2058000.0;2058976.0;65536;0.83047;1319.6974754333496
