cost_fn;methods;tensor_network;num_qubits;num_run;upper_bound_cost;operations;operations_with_bruteforce;max_tensor_size;avg_tensor_sparsity;time
custom_flops;['kahypar'];BB Tanner;18;0;4722655557680395454720;152655872.0;152658176.0;16777216;0.02908;356.9428427219391
custom_flops;['kahypar'];BB Tanner;30;0;1227818820759808211422976;230879779259458.0;230879779263298.0;35184372088832;0.01723;1172.139463186264
flops;['kahypar'];BB Tanner;18;0;148728572194714028288;6801326080.0;6801328384.0;2147483648;0.029;758.2255716323853
flops;['kahypar'];BB Tanner;30;0;20962707697038790400;2626712723396736.0;2626712723400576.0;562949953421312;0.0173;381.36176109313965
custom_flops;['kahypar'];Holographic;25;0;10544;2368.0;2544.0;256;0.82656;140.56488132476807
custom_flops;['kahypar'];Holographic;95;0;659128848;2594832.0;2595808.0;262144;0.68159;468.3283076286316
flops;['kahypar'];Holographic;25;0;13040;3088.0;3264.0;256;0.925;238.71161818504333
flops;['kahypar'];Holographic;95;0;90927696;8934528.0;8935504.0;262144;0.71447;320.72974729537964
custom_flops;['kahypar'];Hamming MSP;7;0;1452463;1346.0;2001.0;128;0.12533;321.17985939979553
custom_flops;['kahypar'];Hamming MSP;15;0;178706296095311;979562.0;988441.0;262144;0.10535;564.9612679481506
flops;['kahypar'];Hamming MSP;7;0;2329487;1400.0;2055.0;128;0.14036;300.5747866630554
flops;['kahypar'];Hamming MSP;15;0;618970759677600802992810511;1.8323083797883194e+17;1.832308379788408e+17;72057594037927936;0.10581;1152.971165895462
custom_flops;['greedy'];Hamming MSP;7;0;723055;1302.0;1957.0;128;0.14707;18.866655826568604
custom_flops;['greedy'];Hamming MSP;15;0;1452903348271;872276.0;881155.0;524288;0.09596;56.00966286659241
flops;['greedy'];Hamming MSP;7;0;723055;1326.0;1981.0;128;0.15273;0.5520899295806885
flops;['greedy'];Hamming MSP;15;0;239449533071;2549082.0;2557961.0;1048576;0.03785;3.1886119842529297
custom_flops;['kahypar'];Rotated Surface MSP;9;0;343921;1340.0;2221.0;128;0.14643;306.1820640563965
custom_flops;['kahypar'];Rotated Surface MSP;25;0;1191773894724706169;19873947120.0;19873958761.0;17179869184;0.08465;5517.122649908066
flops;['kahypar'];Rotated Surface MSP;9;0;1417489;1474.0;2355.0;128;0.15387;302.2293384075165
flops;['kahypar'];Rotated Surface MSP;25;0;302821969954998896306377;849585612608.0;849585624249.0;274877906944;0.08288;9862.497261762619
custom_flops;['greedy'];Hamming MSP;7;0;1157231;1226.0;1881.0;64;0.14701;19.59753656387329
custom_flops;['greedy'];Hamming MSP;15;0;143231380111;1089984.0;1098863.0;524288;0.0414;58.78659796714783
flops;['greedy'];Hamming MSP;7;0;723055;1586.0;2241.0;256;0.15286;0.39536070823669434
