cost_fn;network;num_qubits;num_run;num_open_legs;actual_tensor_size;dense_tensor_size;avg_tensor_sparsity
custom_flops;Concatenated Repetition;9;0;2;4;16;0.25
custom_flops;Concatenated Repetition;9;0;1;2;4;0.5
custom_flops;Concatenated Repetition;9;0;0;1;1;1.0
custom_flops;Concatenated Repetition;27;0;3;16;64;0.25
custom_flops;Concatenated Repetition;27;0;2;8;16;0.5
custom_flops;Concatenated Repetition;27;0;1;4;4;1.0
custom_flops;Concatenated Repetition;27;0;2;4;16;0.25
custom_flops;Concatenated Repetition;27;0;3;16;64;0.25
custom_flops;Concatenated Repetition;27;0;2;8;16;0.5
custom_flops;Concatenated Repetition;27;0;1;4;4;1.0
custom_flops;Concatenated Repetition;27;0;1;2;4;0.5
custom_flops;Concatenated Repetition;27;0;3;8;64;0.125
custom_flops;Concatenated Repetition;27;0;2;8;16;0.5
custom_flops;Concatenated Repetition;27;0;1;4;4;1.0
custom_flops;Concatenated Repetition;27;0;0;1;1;1.0
custom_flops;Concatenated Repetition;81;0;3;16;64;0.25
custom_flops;Concatenated Repetition;81;0;2;8;16;0.5
custom_flops;Concatenated Repetition;81;0;1;4;4;1.0
custom_flops;Concatenated Repetition;81;0;3;16;64;0.25
custom_flops;Concatenated Repetition;81;0;3;16;64;0.25
custom_flops;Concatenated Repetition;81;0;2;8;16;0.5
custom_flops;Concatenated Repetition;81;0;1;4;4;1.0
custom_flops;Concatenated Repetition;81;0;2;8;16;0.5
custom_flops;Concatenated Repetition;81;0;3;16;64;0.25
custom_flops;Concatenated Repetition;81;0;2;8;16;0.5
custom_flops;Concatenated Repetition;81;0;1;4;4;1.0
custom_flops;Concatenated Repetition;81;0;1;4;4;1.0
custom_flops;Concatenated Repetition;81;0;2;4;16;0.25
custom_flops;Concatenated Repetition;81;0;3;16;64;0.25
custom_flops;Concatenated Repetition;81;0;2;8;16;0.5
custom_flops;Concatenated Repetition;81;0;1;4;4;1.0
custom_flops;Concatenated Repetition;81;0;3;16;64;0.25
custom_flops;Concatenated Repetition;81;0;3;16;64;0.25
custom_flops;Concatenated Repetition;81;0;2;8;16;0.5
custom_flops;Concatenated Repetition;81;0;1;4;4;1.0
custom_flops;Concatenated Repetition;81;0;2;8;16;0.5
custom_flops;Concatenated Repetition;81;0;3;16;64;0.25
custom_flops;Concatenated Repetition;81;0;2;8;16;0.5
custom_flops;Concatenated Repetition;81;0;1;4;4;1.0
custom_flops;Concatenated Repetition;81;0;1;4;4;1.0
custom_flops;Concatenated Repetition;81;0;1;2;4;0.5
custom_flops;Concatenated Repetition;81;0;3;8;64;0.125
custom_flops;Concatenated Repetition;81;0;3;16;64;0.25
