cost_fn;methods;tensor_network;num_qubits;num_run;real_operations;cotengra_cost;custom_cost;time;wep
flops;['greedy'];Concatenated Repetition;9;0;10;14;10.0;0.48640894889831543;{0:1, 2:9, 4:27, 6:75, 8:144}
flops;['greedy'];Concatenated Repetition;27;0;116;99;116.0;0.08580899238586426;{0:1, 2:27, 4:324, 6:4599, 8:37287, 10:183222, 12:761832, 14:2334582, 16:5700807, 18:11592255, 20:15963588, 22:19489491, 24:10003617, 26:1037232}
flops;['greedy'];Concatenated Repetition;81;0;488;353;488.0;0.34610772132873535;{0:1, 2:81, 4:3159, 6:85968, 8:1880415, 10:34091685, 12:524856996, 14:7034896899, 16:82467708822, 18:850071603213, 20:7753844486988, 22:62584034007879, 24:447330809281914, 26:2846344394426337, 28:16252372086350652, 30:84211764988606263, 32:402334864083807696, 34:1805885753941770003, 36:7705824684891047082, 38:31177659620592477819, 40:118084947030191388240, 42:412039080152045547183, 44:1305658565656387081884, 46:3719295794922589624185, 48:9458900101927212726906, 50:21368921563071889909119, 52:42718916225904655864428, 54:75282924787591242907749, 56:116483011201611416810646, 58:157535090067553267601403, 60:185235410569320542544516, 62:188100508545955876403853, 64:163299858921334330290207, 66:119487719425707593107920, 68:72068141029230444802887, 70:34732025849051916366537, 72:12988294011132533845569, 74:3692492463832011149328, 76:768720565886046481152, 78:102760331915710181376, 80:5850031827468681216}
flops;['greedy'];Rotated Surface;9;0;260;197;260.0;0.06190204620361328;{0:1, 2:4, 4:22, 6:100, 8:129}
flops;['greedy'];Rotated Surface;25;0;896;2021;896.0;0.2062060832977295;{0:1, 2:8, 4:72, 6:534, 8:3715, 10:25816, 12:158448, 14:782532, 16:2726047, 18:5115376, 20:5136632, 22:2437206, 24:390829}
flops;['greedy'];Rotated Surface;49;0;21472;15894;21472.0;0.7250409126281738;{0:1, 2:12, 4:146, 6:1438, 8:13110, 10:111468, 12:901846, 14:7084452, 16:54340601, 18:404319480, 20:2869566420, 22:18990627284, 24:114175781660, 26:592680271224, 28:2539126411884, 30:8670858392640, 32:22908295560555, 34:45433218275516, 36:65454548064506, 38:66042347051358, 40:44733453993950, 42:19315057841244, 44:4952144318046, 46:662842379852, 48:33901401963}
flops;['greedy'];Rotated Surface MSP;9;0;1220;2748;1220.0;0.526202917098999;{0:1, 2:4, 4:22, 6:100, 8:129}
flops;['greedy'];Rotated Surface Tanner;9;0;636;1786;636.0;0.1815323829650879;{0:1, 2:4, 4:22, 6:100, 8:129}
flops;['greedy'];Hamming MSP;7;0;1230;3911;1230.0;0.3697700500488281;{0:1, 4:21, 6:42}
flops;['greedy'];Hamming Tanner;7;0;900;3352;900.0;0.20777392387390137;{0:1, 4:21, 6:42}
